Schlechter Schlaf,Leben genießen,Zu Nichts aufraffen,Alles anstrengend,Wahlteilnahme,Wahlabsicht,Desinteresse Politiker,Zufriedenheit Leben,Aktiv,Verärgert,Wach,Nervös,Ängstlich,Zurueckhaltend,leicht Vertrauen,Faulheit,Entspannt,wenig kuenstlerisches Interesse,Gesellig,Andere kritisieren,Gruendlich,Nervoes,Phantasievoll
0.3333333333333333,0.3333333333333333,0.4349161351287502,0.6666666666666667,0.8668831168831169,1.0,0.37020114228954576,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.25,0.75,0.25,0.25,0.0,1.0,0.75,0.75,0.5,1.0
0.3333333333333333,0.3333333333333333,0.4349161351287502,0.6666666666666667,1.0,0.5,0.37020114228954576,0.5,0.3333333333333333,0.6666666666666667,1.0,1.0,1.0,0.5,0.5,0.25,0.25,0.0,0.75,0.25,1.0,0.0,1.0
1.0,0.6666666666666667,0.4349161351287502,0.3333333333333333,0.8668831168831169,1.0,0.37020114228954576,0.5,0.6666666666666667,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.5,0.75,0.25,0.25,0.75,0.5,0.75
1.0,0.6666666666666667,0.4349161351287502,0.3333333333333333,1.0,0.5,0.37020114228954576,0.75,0.6666666666666667,1.0,1.0,1.0,1.0,0.75,0.75,0.25,0.75,0.75,0.25,0.5,0.75,0.25,0.5
0.6666666666666667,0.6666666666666667,0.4349161351287502,0.3333333333333333,0.8668831168831169,1.0,1.0,0.75,0.6666666666666667,1.0,0.6666666666666667,0.6666666666666667,1.0,0.25,1.0,0.25,0.75,0.25,0.75,0.25,1.0,0.25,1.0
0.6666666666666667,0.3333333333333333,0.4349161351287502,0.3333333333333333,1.0,0.5,0.37020114228954576,0.5,0.3333333333333333,1.0,0.6666666666666667,0.6666666666666667,1.0,0.25,0.25,0.0,0.0,0.25,0.75,0.25,1.0,1.0,1.0
1.0,0.3333333333333333,0.4349161351287502,0.3333333333333333,0.8668831168831169,1.0,0.37020114228954576,0.25,0.6666666666666667,0.6666666666666667,1.0,0.3333333333333333,1.0,0.5,0.75,0.75,0.75,1.0,0.25,0.5,0.75,0.25,0.0
1.0,0.6666666666666667,0.4349161351287502,0.3333333333333333,0.8668831168831169,0.5,0.37020114228954576,0.75,0.3333333333333333,0.6666666666666667,1.0,0.6666666666666667,1.0,1.0,0.75,0.0,0.75,0.25,0.25,0.5,1.0,0.75,0.75
0.6666666666666667,0.6666666666666667,0.4349161351287502,0.3333333333333333,0.8668831168831169,1.0,0.37020114228954576,0.75,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.75,0.75,0.0,0.75,0.25,0.5,0.25,0.75,0.25,0.5
0.6666666666666667,0.6666666666666667,0.4349161351287502,0.3333333333333333,1.0,0.5,0.37020114228954576,0.75,0.6666666666666667,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.75,0.75,0.25,0.75,0.75,0.5,0.5,0.75,0.25,0.5
1.0,0.3333333333333333,0.4349161351287502,0.3333333333333333,0.8668831168831169,1.0,0.37020114228954576,0.75,0.6666666666666667,1.0,1.0,1.0,1.0,0.75,0.5,0.25,0.75,0.25,0.5,0.5,1.0,0.75,1.0
0.3333333333333333,0.6666666666666667,0.4349161351287502,0.3333333333333333,1.0,0.5,0.37020114228954576,0.75,0.6666666666666667,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.5,0.5,0.25,1.0,0.25,0.75,0.25,1.0,0.25,0.5
0.6666666666666667,0.3333333333333333,0.4349161351287502,0.6666666666666667,1.0,0.5,0.37020114228954576,0.75,0.3333333333333333,0.3333333333333333,0.6666666666666667,0.3333333333333333,1.0,0.5,0.75,0.25,0.25,0.25,0.75,0.5,0.75,0.5,0.75
1.0,0.6666666666666667,0.4349161351287502,0.3333333333333333,0.8668831168831169,1.0,0.37020114228954576,0.75,0.6666666666666667,0.3333333333333333,1.0,0.6666666666666667,1.0,0.0,1.0,0.0,0.25,0.5,0.75,0.25,1.0,0.75,0.5
0.6666666666666667,0.6666666666666667,0.4349161351287502,0.3333333333333333,1.0,0.5,0.37020114228954576,0.75,0.6666666666666667,0.3333333333333333,0.6666666666666667,0.3333333333333333,1.0,0.75,0.5,0.25,0.5,0.5,0.5,0.75,0.75,0.5,0.75
0.3333333333333333,0.7929429742307426,0.4349161351287502,0.6666666666666667,1.0,0.5,0.37020114228954576,0.5,0.6666666666666667,0.6666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.75,0.75,0.25,0.75,0.25,1.0,0.25,0.75,0.75,1.0
1.0,0.6666666666666667,0.4349161351287502,0.3333333333333333,0.8668831168831169,1.0,0.37020114228954576,0.75,0.6666666666666667,1.0,1.0,1.0,1.0,0.25,0.75,0.0,0.25,0.5,1.0,0.75,1.0,0.75,1.0
1.0,0.6666666666666667,0.4349161351287502,0.3333333333333333,1.0,0.5,0.37020114228954576,0.75,0.6666666666666667,1.0,1.0,0.6666666666666667,0.6666666666666667,0.75,0.75,0.75,0.5,0.75,0.5,0.5,0.75,0.25,0.5
1.0,0.3333333333333333,0.4349161351287502,0.3333333333333333,0.8668831168831169,1.0,0.37020114228954576,0.5,0.6666666666666667,0.6666666666666667,1.0,1.0,1.0,0.75,0.5,0.75,0.75,0.25,0.25,0.5,0.75,0.5,0.75
1.0,0.6666666666666667,0.4349161351287502,0.3333333333333333,1.0,0.5,0.37020114228954576,1.0,0.6666666666666667,1.0,1.0,1.0,1.0,0.25,0.5,0.5,0.25,0.25,0.75,0.75,0.75,0.75,0.75
1.0,0.6666666666666667,0.4349161351287502,0.3333333333333333,0.8668831168831169,0.5,0.27999999999999997,0.75,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.75,0.5,0.5,0.75,0.5,0.75,0.5,1.0,0.25,0.25
1.0,0.6666666666666667,0.4349161351287502,0.3333333333333333,0.0,0.5,0.37020114228954576,0.75,0.6666666666666667,1.0,1.0,1.0,1.0,0.75,0.25,0.0,0.25,1.0,0.5,0.75,0.75,0.5,0.5
0.3333333333333333,0.6666666666666667,0.4349161351287502,0.3333333333333333,1.0,0.5,0.37020114228954576,0.75,0.6666666666666667,1.0,0.6666666666666667,0.6666666666666667,1.0,0.25,0.5,0.0,0.75,0.5,0.75,0.25,0.75,0.0,0.75
0.6666666666666667,0.6666666666666667,0.4349161351287502,0.3333333333333333,0.8668831168831169,1.0,0.76,0.75,0.6666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.75,1.0,1.0,0.5,1.0,0.0,1.0
0.6666666666666667,0.6666666666666667,0.4349161351287502,0.3333333333333333,1.0,0.5,0.37020114228954576,0.75,0.6666666666666667,1.0,1.0,1.0,1.0,0.25,0.5,0.0,0.25,0.75,0.75,0.5,0.75,0.25,0.5
